user_id,item_id,timestamp
1,手机,2024-01-01
1,耳机,2024-01-01
1,充电器,2024-01-01
1,手机壳,2024-01-02
2,平板,2024-01-01
2,键盘,2024-01-01
2,触控笔,2024-01-02
2,平板保护套,2024-01-02
3,笔记本,2024-01-01
3,鼠标,2024-01-01
3,键盘,2024-01-01
3,笔记本包,2024-01-02
4,手机,2024-01-01
4,耳机,2024-01-01
4,手机壳,2024-01-02
4,充电器,2024-01-02
5,平板,2024-01-01
5,触控笔,2024-01-01
5,键盘,2024-01-02
5,平板保护套,2024-01-02
6,笔记本,2024-01-01
6,鼠标,2024-01-01
6,外接显示器,2024-01-02
6,笔记本包,2024-01-02
7,手机,2024-01-01
7,无线耳机,2024-01-01
7,充电器,2024-01-02
7,移动电源,2024-01-02
8,平板,2024-01-01
8,键盘,2024-01-01
8,触控笔,2024-01-02
8,无线鼠标,2024-01-02
9,笔记本,2024-01-01
9,机械键盘,2024-01-01
9,游戏鼠标,2024-01-02
9,耳机,2024-01-02
10,手机,2024-01-01
10,蓝牙耳机,2024-01-01
10,手机支架,2024-01-02
10,移动电源,2024-01-02 
